id node1;id node2;name node1;name node2;parent id node1;parent id node2;parent name node1;parent name node2;edge confidence;edge weight(med flm)
108;114;rh.superiorfrontal_13;rh.superiorfrontal_6;8;8;ctx-rh-superiorfrontal;ctx-rh-superiorfrontal;328;13.000002
1001;1014;lh.insula_11;Left-Amygdala;75;82;ctx-lh-insula;Left-Amygdala;355;14.100006
632;1010;lh.caudalmiddlefrontal_13;Left-Putamen;50;78;ctx-lh-caudalmiddlefrontal;Left-Putamen;413;18.320007
632;637;lh.caudalmiddlefrontal_13;lh.caudalmiddlefrontal_4;50;50;ctx-lh-caudalmiddlefrontal;ctx-lh-caudalmiddlefrontal;336;18.759260
632;1009;lh.caudalmiddlefrontal_13;Left-Caudate;50;77;ctx-lh-caudalmiddlefrontal;Left-Caudate;405;17.040906
991;1010;lh.insula_5;Left-Putamen;75;78;ctx-lh-insula;Left-Putamen;382;20.508339
991;1008;lh.insula_5;Left-Thalamus-Proper;75;76;ctx-lh-insula;Left-Thalamus-Proper;316;15.116666
692;1010;lh.rostralanteriorcingulate_5;Left-Putamen;53;78;ctx-lh-rostralanteriorcingulate;Left-Putamen;293;33.047058
692;1009;lh.rostralanteriorcingulate_5;Left-Caudate;53;77;ctx-lh-rostralanteriorcingulate;Left-Caudate;323;20.000004
514;1010;lh.lateralorbitofrontal_2;Left-Putamen;42;78;ctx-lh-lateralorbitofrontal;Left-Putamen;395;17.763637
513;1010;lh.lateralorbitofrontal_13;Left-Putamen;42;78;ctx-lh-lateralorbitofrontal;Left-Putamen;362;27.916663
50;504;rh.parsopercularis_6;Right-Putamen;6;37;ctx-rh-parsopercularis;Right-Putamen;324;21.321215
50;503;rh.parsopercularis_6;Right-Caudate;6;36;ctx-rh-parsopercularis;Right-Caudate;315;19.500000
645;684;lh.precentral_17;lh.paracentral_4;51;52;ctx-lh-precentral;ctx-lh-paracentral;302;15.233331
128;504;rh.caudalmiddlefrontal_10;Right-Putamen;9;37;ctx-rh-caudalmiddlefrontal;Right-Putamen;372;27.144929
128;131;rh.caudalmiddlefrontal_10;rh.caudalmiddlefrontal_6;9;9;ctx-rh-caudalmiddlefrontal;ctx-rh-caudalmiddlefrontal;357;13.399994
128;503;rh.caudalmiddlefrontal_10;Right-Caudate;9;36;ctx-rh-caudalmiddlefrontal;Right-Caudate;307;19.999994
1005;1010;lh.insula_7;Left-Putamen;75;78;ctx-lh-insula;Left-Putamen;388;13.499998
28;504;rh.medialorbitofrontal_10;Right-Putamen;4;37;ctx-rh-medialorbitofrontal;Right-Putamen;380;29.092849
28;78;rh.medialorbitofrontal_10;rh.rostralmiddlefrontal_6;4;7;ctx-rh-medialorbitofrontal;ctx-rh-rostralmiddlefrontal;310;14.546663
28;77;rh.medialorbitofrontal_10;rh.rostralmiddlefrontal_1;4;7;ctx-rh-medialorbitofrontal;ctx-rh-rostralmiddlefrontal;315;13.942857
